,country,year,total,sex,suicides_no,population
192,Albania,2005,2544.0,female,0,281922
193,Albania,2005,2544.0,female,0,190745
194,Albania,2005,2544.0,female,0,386513
195,Albania,2005,2544.0,female,0,276559
196,Albania,2005,2544.0,female,0,210998
197,Albania,2005,2544.0,female,0,53191
198,Albania,2005,2544.0,male,0,281675
199,Albania,2005,2544.0,male,0,177519
200,Albania,2005,2544.0,male,0,380242
201,Albania,2005,2544.0,male,0,291367
202,Albania,2005,2544.0,male,0,214118
203,Albania,2005,2544.0,male,0,38471
204,Albania,2006,2544.0,female,0,283138
205,Albania,2006,2544.0,female,0,186391
206,Albania,2006,2544.0,female,0,388746
207,Albania,2006,2544.0,female,0,267316
208,Albania,2006,2544.0,female,0,215907
209,Albania,2006,2544.0,female,0,56011
210,Albania,2006,2544.0,male,0,286679
211,Albania,2006,2544.0,male,0,174092
212,Albania,2006,2544.0,male,0,379076
213,Albania,2006,2544.0,male,0,282678
214,Albania,2006,2544.0,male,0,219360
215,Albania,2006,2544.0,male,0,40782
216,Albania,2007,2544.0,male,8,42366
217,Albania,2007,2544.0,male,29,378626
218,Albania,2007,2544.0,male,14,224160
219,Albania,2007,2544.0,female,3,57404
220,Albania,2007,2544.0,male,9,172494
221,Albania,2007,2544.0,female,13,281080
222,Albania,2007,2544.0,male,13,288349
223,Albania,2007,2544.0,female,8,183629
224,Albania,2007,2544.0,female,9,221120
225,Albania,2007,2544.0,female,14,391811
226,Albania,2007,2544.0,male,4,272497
227,Albania,2007,2544.0,female,0,256808
228,Albania,2008,2544.0,male,21,172855
229,Albania,2008,2544.0,male,37,377119
230,Albania,2008,2544.0,male,21,228672
231,Albania,2008,2544.0,female,5,59369
232,Albania,2008,2544.0,female,20,276073
233,Albania,2008,2544.0,female,9,182663
234,Albania,2008,2544.0,female,19,393832
235,Albania,2008,2544.0,male,2,44574
236,Albania,2008,2544.0,male,11,286702
237,Albania,2008,2544.0,female,7,226448
238,Albania,2008,2544.0,male,7,262464
239,Albania,2008,2544.0,female,1,246288
240,Albania,2009,2544.0,female,0,270003
241,Albania,2009,2544.0,female,0,182712
242,Albania,2009,2544.0,female,0,394286
243,Albania,2009,2544.0,female,0,236174
244,Albania,2009,2544.0,female,0,233302
245,Albania,2009,2544.0,female,0,61582
246,Albania,2009,2544.0,male,0,283448
247,Albania,2009,2544.0,male,0,174955
248,Albania,2009,2544.0,male,0,374365
249,Albania,2009,2544.0,male,0,253007
250,Albania,2009,2544.0,male,0,234570
251,Albania,2009,2544.0,male,0,47331
252,Albania,2010,2544.0,male,20,241852
253,Albania,2010,2544.0,male,20,371611
254,Albania,2010,2544.0,male,9,179720
255,Albania,2010,2544.0,male,2,50767
256,Albania,2010,2544.0,male,10,279508
257,Albania,2010,2544.0,female,6,183579
258,Albania,2010,2544.0,female,2,64415
259,Albania,2010,2544.0,female,12,394593
